nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
503.1851299157304,348.069222553839,564.1951954588015,304.60602835323033,471.0770716292135,304.7236364700375,612.9011587078653,324.2205787687266,440.0149959035581,332.37966701779027,745.9917047050562,581.3218340355805,324.08444522471916,574.8838000351124,787.3872015449438,888.7900866104869,249.51537628745325,854.1026597612359,616.8340355805244,1023.0867421582398,377.0926234784645,959.21640917603,645.7424801029963,1183.1495786516855,385.9349397237828,1133.371956928839,632.2840589887642,1614.6927668539327,404.8297050561798,1586.8464712078653,606.2953534644196,1915.646652621723,407.17711259363296,1896.0358146067417
503.0711610486892,350.03152797284645,564.4444932116105,305.9835118211611,470.9743679775281,306.0716950491573,613.5467872191011,324.4983687382959,439.97008134363296,331.6874780547753,745.9639805711611,581.0346807701311,326.4437763342697,574.6691757373595,784.2910960908241,890.3508309925094,247.11442240168537,854.2517409878277,633.5864349250937,1033.806326076779,376.6639600889513,958.5261587078652,649.832338483146,1181.2811622191011,386.5333128511236,1136.014454588015,630.2671465355807,1613.9810100655432,402.09935334737827,1575.4842579588017,605.6118328651685,1917.9033532303372,406.185554190075,1895.6609901685395
503.58914150280907,348.61185481039325,564.3855337078652,304.7453622425094,471.8643199906368,304.54694083567415,613.3396242977528,324.1580714536517,440.01484960205994,331.86735574672286,745.6460674157304,581.2518287687266,325.60173806179773,574.3860457631087,783.7386616338952,891.2445868445693,243.82417485955057,853.883207514045,615.6171728698503,1022.9329792837079,374.703520014045,956.3475099485019,633.9683549859551,1207.3226825842696,387.20110603932585,1127.6934105805244,628.130559456929,1618.7519019194758,402.9198121488764,1584.0390917602997,601.8885328885768,1917.7870435393259,405.4495113529963,1897.4935627340824
524.9555974953183,347.8502092111423,563.6318615402622,304.5771703827247,470.515785931648,305.38969232794943,613.3799303604869,323.8099470388577,440.17629330524346,332.68199906367045,743.1790584035582,581.3644077715356,324.324452832397,574.2483029026217,781.8486657303372,891.2863559222847,241.17677610018734,853.019150866105,634.2873654026218,1032.9619469803372,372.86897237827714,955.2334240402622,646.0473724250937,1182.4354810393259,391.8344013342697,1122.704310042135,627.140464068352,1614.667895599251,401.9098929073034,1584.1672518726593,606.768053604869,1915.6564548220974,404.88427551498125,1893.9431179775281
521.3518989934457,347.36470768960675,560.0294797518727,303.9684829997659,467.0319815074906,304.8451032888577,610.468603698502,323.9867523993446,437.91161926498125,331.72215150983146,743.0519224016855,581.5738749414794,322.3815689372659,573.25429394897,783.7722378277153,892.5231156367041,238.8565806413858,852.5031454822098,629.4895540730338,1031.880705758427,371.2036224250936,952.8486364700375,632.9517058754682,1207.9623858848315,392.7452013108615,1134.2756612827716,625.3127194522472,1621.0409351591761,397.5925356975656,1573.3264571629213,604.2078505383895,1919.7995669475656,401.81786926498125,1894.5890390917605
518.9057379447565,341.15131963951313,556.2565835674158,303.6064782303371,488.3120464653558,303.28874795177904,607.5497425093633,322.9793202832397,431.77653909176036,329.22665028089887,737.9504623127341,582.7076018258427,317.28559515449444,572.857268258427,777.467740519663,884.8899081226592,235.10862886235952,852.3400924625469,627.8920148642324,1031.8363764044943,367.1730893024345,950.5873273642322,642.7714624297753,1184.2559105805244,394.25986072097385,1128.0666988529963,622.614773525281,1611.3547518726593,398.2626697097379,1566.7022179307116,599.2330143960675,1916.8537862827716,421.1644867743446,1889.2712722378278
516.1864319990638,340.338907420412,554.5938670411986,303.1745779201779,486.17977528089887,302.7464997366573,606.545236423221,323.0224426498127,430.2661224250936,327.38387318586143,745.0822945926966,581.9028704353933,315.781176849251,572.4106829353933,780.06642088015,889.4127457865169,233.85870201310865,850.0062909644195,628.7891356507491,1031.2868679775281,365.8274081226592,950.0512055243446,640.4374414794008,1180.1150661282772,393.71327832397003,1134.2579588014983,622.078432233146,1608.252574906367,397.4507695458801,1569.7132490636704,593.7461961610487,1908.4001931179776,416.8041900749064,1884.4374707397005
517.5980951544944,337.90203651685397,554.8741807116105,300.77861657303373,486.9098929073034,301.60159907537457,606.6373332162921,319.97545792368913,431.6101942883895,327.24748361423224,749.0404084737829,581.0712561446629,314.1902212078652,571.2123273642322,776.3764776451312,883.9879593867041,231.7203593164794,847.4297752808989,629.9437470739701,1029.4571482911986,365.2394955524345,947.608043656367,637.256334854869,1184.3227703651685,390.9028265449439,1137.3147823033707,618.4394019194756,1591.6712020131088,620.7956606975656,1575.6924449906367,598.4368416432585,1906.8480805243446,413.70625585205994,1883.9063963014983
519.7445575842697,335.3780430711611,555.4163740636704,298.37539501404495,488.5675620318352,300.2355819873596,606.4302434456929,317.9137040613296,432.16965121722853,326.8293539325843,750.038916198502,580.8887450257491,311.34202364232215,570.5586888459738,777.3759363295881,881.0498595505618,229.3135533707865,844.5493182350187,636.1089653558054,1022.3117099719101,364.01743913857683,944.4693644662922,632.9521447799625,1184.6349777621724,391.0392526919476,1133.0850596910113,620.0490841526218,1607.3772530430713,390.1850713951311,1566.3202247191011,599.231331928839,1905.5840355805244,408.7587049391386,1885.2329119850187
521.2854049625469,334.25466701779027,556.5149520131087,297.13799523057116,490.93918246722853,298.94021023525283,608.0816216058054,317.9238354400749,433.5873858848315,327.3355936914794,734.9438933754682,578.8052653909176,310.7841028792135,570.5974953183521,782.2460205992509,886.8709767088015,228.38709913389516,843.0509714419476,631.9668773408241,1027.2993474953184,365.40071980337086,943.9518960674158,634.0363851825844,1186.1485399110488,388.4285756086142,1132.20469042603,617.2419241573034,1593.215560627341,388.75555945692884,1562.1904260299625,599.2894867743446,1903.4300386235955,409.92553253745325,1885.1318176498128
523.053751170412,333.90471383426967,557.9964009831461,296.65697419241576,465.0149959035581,297.5956446044008,608.6524169007491,318.8517526919476,434.494455173221,327.4122191011236,737.7070166198503,578.7437456109551,311.34399871254686,570.6585396184457,781.9399578651685,886.605000585206,227.73986130617982,843.950945107678,636.723285346442,1023.6428341526217,365.8719569288389,942.725231156367,633.9588453885767,1181.312031835206,389.5075491573034,1131.841643258427,615.0430857911986,1588.489144428839,614.7103230337079,1597.6350362827716,595.1565426029963,1888.9884714419477,411.07853464419475,1886.1840180243446
524.4325696395132,332.86151100187266,557.4487944756555,295.5310195751405,465.2055536048689,296.99930141034645,609.6536312031835,317.9114363881086,435.8997542134832,327.76667105571164,743.5970417837079,578.7154728464419,310.7309954353933,570.5470213014981,781.4545294943821,886.2232268258427,228.17737593632955,842.4044651217229,641.6757373595506,1020.6070049157304,367.795236423221,943.5056764981274,632.3398730102997,1187.0959884129213,387.35794124531833,1128.0268316947565,616.2298103932585,1591.4448735955057,617.3195371020599,1577.4372366573034,591.337268843633,1888.3141678370787,410.4680916432585,1888.3617158239701
525.6971997893259,335.9676015332397,559.9755676498128,298.5013240285581,469.1024403089888,298.77821790145134,611.6774929775281,318.4772940074906,439.8508456226592,328.8468150163858,743.4797079822097,578.7517921933521,315.94079178370794,571.2365036867977,781.7399637172284,888.0128599016854,231.09075081928836,844.9474777621723,638.5038477294008,1022.0480015215356,368.53559515449444,944.1899286048689,634.2547401685395,1193.4562265917602,394.01173338014985,1138.0672109082398,618.5944083567415,1597.4423572097378,393.6865051498128,1558.8664559925094,596.237344920412,1908.1658181179776,392.259846090824,1879.225479868914
502.41463307584274,344.6268580290262,562.4506963951311,301.85356683052436,470.3207660346442,303.0314767673221,616.602732911985,317.5314548220974,440.8603991104869,328.606331928839,751.3660902387642,579.3722934222847,319.83848314606746,570.3517453768727,787.8317386470037,892.7645862593633,233.23084913389516,846.5101240636704,620.2023349719102,1017.8788477294008,366.86878218632967,943.3854898174158,636.9850918773409,1197.2832543305244,391.4235135767791,1124.157595973783,625.3524403089889,1602.7076018258429,399.45678253745325,1563.2515507958801,599.9825901217229,1908.1168071161048,391.66505735018734,1876.3243211610488
525.3576340121723,346.2299932701311,563.3947068117977,303.10932745201313,470.3844803370787,303.28344452247194,617.0427346676031,320.43557613529964,441.2622161750936,329.76372308052436,748.1503833099252,580.9344276685393,319.81127106741576,571.5459313553371,783.9753774578653,886.7731010065544,230.22332923689146,846.79453417603,635.0294797518727,1027.96875,360.8891473548689,941.6099016853933,634.8122220271537,1195.4969130383895,390.39296582397003,1124.7261967462548,625.4749678136704,1603.8758192883895,393.2563055945693,1565.9949964887642,600.6496518024345,1910.017263576779,414.30792076310865,1882.668831928839
503.4628101591761,350.69028704353934,565.6162950608615,307.0027577832397,472.591950491573,307.07894428838955,616.5916139981273,322.8043436914794,442.1420002340824,331.9096734550562,746.9010416666667,580.974843457397,323.4105805243446,572.1192137757491,783.8369762406367,889.2409146769663,225.1853639981274,847.5318937265918,616.1686563670412,1020.2128686797753,347.77972846441946,940.7348724250936,631.7485955056179,1199.19687792603,390.4754067181648,1137.3145628511236,623.7299566947565,1603.2050269194758,620.1563231507491,1614.4659995318352,598.5779494382023,1910.6899578651687,416.0502253043071,1889.7555301966293
505.632973431648,349.95826749765916,568.1393375468165,307.20703125,474.66562792602997,307.4622176381086,619.1559135065543,323.4321599953184,444.25766619850185,333.6705948618914,754.9841262874531,583.2115373361423,329.72736715823976,571.2919519545881,786.3038389513108,888.8699672284645,233.07672050561803,846.6667398174158,626.7019984784645,1017.576954588015,337.8797255383895,923.0153470271536,642.9679453417602,1179.9971471207866,389.5686300327716,1134.0783005617977,629.8365080758426,1615.3253745318352,401.1846032303371,1575.0716877340824,602.4177785580524,1910.065396769663,400.17080699906364,1894.6444873595506
